"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","CV_young_Fem_GP_1","CV_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs.kg_inter_Fem_GP_1","Eggs.kg_slope_wt_Fem_GP_1","RecrDist_GP_1","RecrDist_Area_1","RecrDist_month_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_InitAge_25","Early_InitAge_24","Early_InitAge_23","Early_InitAge_22","Early_InitAge_21","ForeRecr_101","ForeRecr_102","ForeRecr_103","ForeRecr_104","ForeRecr_105","ForeRecr_106","ForeRecr_107","ForeRecr_108","ForeRecr_109","ForeRecr_110","ForeRecr_111","ForeRecr_112","LnQ_base_Survey_2","Q_base_env_3","Size_DblN_peak_Fishery_1","Size_DblN_top_logit_Fishery_1","Size_DblN_ascend_se_Fishery_1","Size_DblN_descend_se_Fishery_1","Size_DblN_start_logit_Fishery_1","Size_DblN_end_logit_Fishery_1","Size_DblN_peak_Survey_2","Size_DblN_top_logit_Survey_2","Size_DblN_ascend_se_Survey_2","Size_DblN_descend_se_Survey_2","Size_DblN_start_logit_Survey_2","Size_DblN_end_logit_Survey_2","minage.sel.1_Fishery_1","maxage.sel.1_Fishery_1","minage.sel.1_Survey_2","maxage.sel.1_Survey_2","Catch_endyear","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_Fishery","Curr_Var_Adj_lcomp_flt_2_Survey","Curr_Var_Adj_agecomp_flt_1_Fishery","Curr_Var_Adj_agecomp_flt_2_Survey","version","RunTime","model_run","hessian","Niterations","Late_RecrDev_101","Late_RecrDev_102","Late_RecrDev_103","Late_RecrDev_104","Late_RecrDev_105","Late_RecrDev_106","Late_RecrDev_107","Late_RecrDev_108","Late_RecrDev_109","Late_RecrDev_110","Late_RecrDev_111","Late_RecrDev_112","ForeRecr_113","iteration","scenario"
4740210000,4775020000,4773410000,154443000,1896080000,0.480769,0.151063,290602000,1453660000,0.202245,299146000,1485770000,0.405861,0.197965,299206000,299206000,6.70512e-05,0.503562078473317,"needs_Hessian",-9.492,17.6397,100.679,100.906,0.9627,NA,NA,NA,0.2,20.1632,130.418,0.205668,0.0872739,0.106257,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.8553,0.65,0.8,0,0,-0.707536,-0.245598,0.18489,-0.518865,-0.211369,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.538,-3,5.11308,15,-999,999,75.7943,-4,5.30899,14,-99,99,0,25,0,25,201592000,2130.87,4.49688e-16,0,-66.1113,1348.34,824.389,24.2458,0,0,0,0.000693452,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.9,"em",FALSE,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0.05_10"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.148763,246597000,1252480000,0.199092,253759000,1281700000,0.40619,0.19465,253816000,253816000,NA,0.674791512616976,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,100,-3,5.1,15,-999,999,75,-4,5.2,14,-99,99,0,25,0,25,257113000,628410000,627934000,0,469409,4364.99,2052.99,55.943,0,6.44321,0,0.000701485,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,0.0333189,0.325607,0.591501,0.82243,-0.400432,0.678793,-0.7788,-0.776731,-0.836535,-1.15084,-0.0942095,-1.30045,-1.24848,1,"0.05_10"
4961440000,4998560000,4996870000,161182000,1984580000,0.480769,0.147607,297288000,1521510000,0.197312,305571000,1565140000,0.407611,0.19194,305676000,305676000,8.99939e-05,0.333346770292496,"needs_Hessian",-14.2951,19.4888,100.007,100.997,0.9665,NA,NA,NA,0.2,21.2408,131.893,0.198125,0.094025,0.094619,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.898,0.65,0.8,0,0,0.0074652,-0.120944,-0.323893,0.888737,0.611165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.243,-3,5.17024,15,-999,999,75.3374,-4,5.13383,14,-99,99,0,25,0,25,121885000,2213.13,1.91941e-16,0,-66.7688,1373.12,884.494,22.2833,0,0,0,0.000695445,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.38333333333333,"em",FALSE,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"0.05_10"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.148763,246597000,1252480000,0.199092,253759000,1281700000,0.40619,0.19465,253816000,253816000,NA,0.705644707138275,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,100,-3,5.1,15,-999,999,75,-4,5.2,14,-99,99,0,25,0,25,180079000,623129000,622663000,0,459965,4344.65,1954.47,57.7081,0,6.87991,0,0.000701485,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-0.587207,-1.55267,-0.323532,0.831869,-0.367237,-1.3321,-0.179962,1.38878,-0.466,-0.472424,-0.297398,0.46004,-0.801962,2,"0.05_10"
5345960000,5386370000,5384500000,174716000,2138390000,0.480769,0.148167,321589000,1639430000,0.198383,331095000,1673320000,0.405486,0.194446,331154000,331154000,2.94645e-06,0.394742946075167,"needs_Hessian",-9.4087,15.4544,100.445,100.893,0.9622,NA,NA,NA,0.2,19.7884,132.223,0.197474,0.109052,0.0965647,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.9787,0.65,0.8,0,0,-0.714488,-0.404061,-0.459993,-0.13027,-0.386651,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98.78,-3,4.96005,15,-999,999,75.475,-4,5.22277,14,-99,99,0,25,0,25,180207000,2128.41,2.03018e-16,0,-68.7522,1332.67,835.196,29.2947,0,0,0,0.000710274,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.23333333333333,"em",FALSE,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0.05_10"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.148763,246597000,1252480000,0.199092,253759000,1281700000,0.40619,0.19465,253816000,253816000,NA,0.470669755005901,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,100,-3,5.1,15,-999,999,75,-4,5.2,14,-99,99,0,25,0,25,135652000,621166000,620682000,0,478031,4359.3,2008.98,60.1701,0,7.53021,0,0.000701485,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0,"om",FALSE,2,-0.402746,-0.965972,-1.6963,-0.466451,0.122866,0.581626,-1.01496,0.13866,0.292517,-1.0153,-0.0175449,-1.53097,-0.764869,3,"0.05_10"
5325300000,5365300000,5363480000,173014000,2130120000,0.480769,0.148234,320465000,1633090000,0.198289,329628000,1674490000,0.406728,0.193495,329716000,329716000,1.72546e-05,0.426456725442698,"needs_Hessian",-7.7752,17.7168,100.305,100.674,0.9608,NA,NA,NA,0.2,20.6377,132.159,0.197354,0.0945466,0.101394,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.9689,0.65,0.8,0,0,0.00623314,0.275944,-0.257751,0.165253,-0.40994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.116,-3,5.13058,15,-999,999,73.8673,-4,5.05059,14,-99,99,0,25,0,25,207208000,2168.81,1.83882e-16,0,-67.6973,1352.63,857.672,26.2089,0,0,0,0.000712879,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.9,"em",FALSE,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"0.05_10"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.148763,246597000,1252480000,0.199092,253759000,1281700000,0.40619,0.19465,253816000,253816000,NA,0.56740643164601,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,100,-3,5.1,15,-999,999,75,-4,5.2,14,-99,99,0,25,0,25,159493000,635418000,634937000,0,474622,4370.03,2043,53.9264,0,3.72422,0,0.000701485,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-0.18425,0.0665602,-0.509495,0.442816,-1.42371,-0.874723,0.140343,0.239005,0.299379,0.160773,-0.691937,0.144395,-0.888225,4,"0.05_10"
4802420000,4838280000,4836630000,159288000,1920970000,0.480769,0.152424,297140000,1472740000,0.204107,305951000,1503960000,0.405625,0.199957,306008000,306008000,7.54713e-06,0.422795174099725,"needs_Hessian",-17.2967,19.3966,100.025,101,0.9623,NA,NA,NA,0.2,17.9819,128.893,0.212951,0.0767886,0.115565,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.8862,0.65,0.8,0,0,0.227977,-0.156748,0.0414186,-0.495405,0.0166627,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99.8237,-3,5.08044,15,-999,999,73.3357,-4,5.12132,14,-99,99,0,25,0,25,208437000,2191.98,3.92576e-16,0,-69.4702,1389.64,840.566,31.2415,0,0,0,0.000716671,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.36666666666667,"em",FALSE,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"0.05_10"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.148763,246597000,1252480000,0.199092,253759000,1281700000,0.40619,0.19465,253816000,253816000,NA,0.576906502651695,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,100,-3,5.1,15,-999,999,75,-4,5.2,14,-99,99,0,25,0,25,197397000,627952000,627483000,0,462397,4364.91,2027.11,61.1189,0,5.46243,0,0.000701485,0,0,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.3462,0.539765,0.841217,-0.327988,0.12143,0.494828,-1.07469,0.0256615,-1.42573,-0.301347,0.697931,-0.107063,0.189153,5,"0.05_10"
