"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","SD_young_Fem_GP_1","SD_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs_scalar_Fem_GP_1","Eggs_exp_len_Fem_GP_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_InitAge_18","Early_InitAge_17","Early_InitAge_16","Early_InitAge_15","Early_InitAge_14","Early_InitAge_13","Early_InitAge_12","Early_InitAge_11","Early_InitAge_10","Early_InitAge_9","Early_InitAge_8","Early_InitAge_7","Early_InitAge_6","Early_InitAge_5","Early_InitAge_4","Early_InitAge_3","Early_InitAge_2","Early_InitAge_1","Early_RecrDev_1923","Early_RecrDev_1924","Early_RecrDev_1925","Early_RecrDev_1926","Early_RecrDev_1927","Early_RecrDev_1928","Early_RecrDev_1929","ForeRecr_2023","ForeRecr_2024","ForeRecr_2025","ForeRecr_2026","ForeRecr_2027","ForeRecr_2028","ForeRecr_2029","ForeRecr_2030","ForeRecr_2031","ForeRecr_2032","ForeRecr_2033","ForeRecr_2034","LnQ_base_WCGBTS_4","Q_base_env_5","Size_DblN_peak_North_1","Size_DblN_top_logit_North_1","Size_DblN_ascend_se_North_1","Size_DblN_descend_se_North_1","Size_DblN_start_logit_North_1","Size_DblN_end_logit_North_1","Size_DblN_peak_South_2","Size_DblN_top_logit_South_2","Size_DblN_ascend_se_South_2","Size_DblN_descend_se_South_2","Size_DblN_start_logit_South_2","Size_DblN_end_logit_South_2","Size_DblN_peak_WCGBTS_4","Size_DblN_top_logit_WCGBTS_4","Size_DblN_ascend_se_WCGBTS_4","Size_DblN_descend_se_WCGBTS_4","Size_DblN_start_logit_WCGBTS_4","Size_DblN_end_logit_WCGBTS_4","dead.B.._1","dead.B.._2","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_North","Curr_Var_Adj_lcomp_flt_2_South","Curr_Var_Adj_lcomp_flt_4_WCGBTS","Curr_Var_Adj_agecomp_flt_1_North","Curr_Var_Adj_agecomp_flt_2_South","Curr_Var_Adj_agecomp_flt_4_WCGBTS","version","RunTime","model_run","hessian","Niterations","ForeRecr_2035","ForeRecr_2036","ForeRecr_2037","ForeRecr_2038","ForeRecr_2039","ForeRecr_2040","ForeRecr_2041","ForeRecr_2042","ForeRecr_2043","ForeRecr_2044","ForeRecr_2045","ForeRecr_2046","iteration","scenario"
43.1516,56661.2,56097,20135.3,10.7879,0.296875,0.155025,3025.7,10.9317,0.153538,3026.1,11.0405,0.302363,0.152425,3026.19,3026.19,0.00103231,0.29451283382308,"needs_Hessian",1918.48,1974.3,2022.01,2022.97,0.9707,NA,NA,NA,0.15965,8.75333,46.9611,0.200539,1.21276,4.97248,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.91023,0.8,1,0,0,-0.00825092,-0.00961364,-0.0111857,-0.0129928,-0.0150609,-0.0174159,-0.0200834,-0.0230844,-0.0264347,-0.0301425,-0.0342083,-0.0386263,-0.0433985,-0.0485575,-0.0539463,-0.059584,-0.0656809,-0.0722178,-0.079089,-0.0863246,-0.0939346,-0.102034,-0.110703,-0.119947,-0.129815,0,0,0,0,0,0,0,0,0,0,0,0,-8.90032,1,66.5266,-15,5.48319,20,-999,-999,58.256,-15,6.1491,20,-999,-999,55.7232,-15,5.89318,20,-999,-999,2281.65,1734.87,2198.9,1.80725e-05,0,-83.5884,1210.72,1045.45,26.2964,0,0,0.0160115,0.00200885,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.65,"em",FALSE,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.556728439525899,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.13754,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,2350.05,1149.96,206448000,206430000,0,4968.44,1451.23,11891.1,66.0963,2.64531e-31,11.8535,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.6606,1.89457,-1.57395,-0.946238,0.411652,-0.527357,1.25721,1.89484,-0.519387,0.288703,1.24637,-2.5421,1,"0.05_10"
43.4972,56979.7,56408.9,20481.7,10.8743,0.296875,0.154833,3038.65,11.0193,0.153344,3039,11.105,0.301848,0.152473,3039.06,3039.06,0.000209869,0.156646864625769,"needs_Hessian",1918.67,1974.5,2022,2022.95,0.974,NA,NA,NA,0.16123,8.73756,47.1149,0.199863,1.19358,4.97013,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.92729,0.8,1,0,0,-0.00652092,-0.00761069,-0.00887007,-0.0103204,-0.0119838,-0.0138838,-0.0160396,-0.01847,-0.0211888,-0.0242032,-0.0275136,-0.0311144,-0.0350034,-0.0392064,-0.0436599,-0.0482435,-0.0531823,-0.0584482,-0.0639535,-0.0696891,-0.0756765,-0.0820368,-0.0888962,-0.0963629,-0.10466,0,0,0,0,0,0,0,0,0,0,0,0,-8.77694,1,66.0498,-15,5.52123,20,-999,-999,56.7948,-15,6.10292,20,-999,-999,53.143,-15,5.8567,20,-999,-999,991.668,847.757,2307.19,3.83832e-05,0,-83.0358,1258.07,1107.29,24.8484,0,0,0.0108302,0.00157776,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.53333333333333,"em",FALSE,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.390186191692314,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.7779,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1641.82,846.454,203531000,203514000,0,4656.61,1426.8,11449.5,68.9697,2.64531e-31,9.27885,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.10245,2.40321,-1.06882,-0.591347,-0.963442,-0.491947,-1.29063,-0.201668,-2.46332,0.814049,0.237675,-0.641157,2,"0.05_10"
41.7395,55446.6,54824.3,21891.9,10.4349,0.296875,0.157928,3051.07,10.574,0.156429,3051.51,10.6923,0.302658,0.155169,3051.62,3051.62,0.000870334,0.281474382778902,"needs_Hessian",1917.89,1971.35,2022.01,2022.98,0.9706,NA,NA,NA,0.169122,8.95026,47.3027,0.195254,1.36535,4.89271,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.99387,0.8,1,0,0,-0.00525395,-0.00617696,-0.00725117,-0.00849661,-0.00993467,-0.0115867,-0.0134732,-0.015613,-0.018021,-0.0207064,-0.0236724,-0.0269169,-0.0304417,-0.0342335,-0.0380771,-0.042249,-0.0467465,-0.0515337,-0.0565193,-0.0616489,-0.0669022,-0.0723302,-0.0779659,-0.0838069,-0.0899583,0,0,0,0,0,0,0,0,0,0,0,0,-9.17255,1,68.6814,-15,5.57427,20,-999,-999,61.0593,-15,6.26808,20,-999,-999,55.5657,-15,5.91584,20,-999,-999,1826.99,1488.16,2301.99,0.000313528,0,-69.8125,1181.18,1160.73,29.8788,0,0,2.44012e-05,0.00237104,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.36666666666667,"em",FALSE,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.252871455700347,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.32069,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,976.46,525.821,204511000,204494000,0,4245.47,1436.07,11391,72.8695,2.64531e-31,7.18022,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.05609,-1.01565,-1.01581,0.425535,1.21569,-1.78812,-1.31543,-0.599547,-0.689897,-1.40475,-1.14173,-0.694766,3,"0.05_10"
61.6103,76017.2,75419.5,21101.7,15.4026,0.296875,0.142731,3635.58,15.608,0.141336,3636.36,15.9189,0.304731,0.139255,3636.8,3636.8,0.000119383,0.222974080632622,"needs_Hessian",1910.16,1972.6,2022.41,2022.97,0.9614,NA,NA,NA,0.144021,8.75876,47.8496,0.192891,1.06206,4.91187,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.95711,0.8,1,0,0,-0.0224383,-0.0257,-0.0293919,-0.0335556,-0.0382297,-0.0434523,-0.048953,-0.0549208,-0.0614085,-0.0684041,-0.075883,-0.0838129,-0.0921802,-0.10101,-0.110402,-0.120425,-0.131076,-0.142298,-0.153621,-0.165554,-0.177854,-0.190624,-0.2039,-0.217612,-0.231763,0,0,0,0,0,0,0,0,0,0,0,0,-9.32973,1,61.7437,-15,5.3317,20,-999,-999,53.8962,-15,6.03427,20,-999,-999,52.2376,-15,5.8398,20,-999,-999,1698.83,1579.86,2300.95,0.000125894,0,-81.0414,1276.06,1080.14,25.6594,0,0,0.1307,0.00109766,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.5,"em",FALSE,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.328286730840591,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.32693,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1491.25,706.124,219381000,219364000,0,3431.54,1454.95,11660.7,60.2822,2.64531e-31,9.6628,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.21028,-2.09817,-0.600253,-1.84188,-1.76285,-0.664697,-0.376547,-1.90304,-0.583195,-0.846942,-1.08441,0.399362,4,"0.05_10"
45.1458,60107.7,59369.6,24842.6,11.2865,0.296875,0.161745,3429.41,11.4369,0.160224,3429.74,11.4987,0.301284,0.159603,3429.77,3429.77,0.000985312,0.331738500591417,"needs_Hessian",1918.85,1973.55,2022.05,2023,0.9718,NA,NA,NA,0.174057,9.33111,47.6359,0.189691,1.30305,4.89465,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,10.1203,0.8,1,0,0,-0.00496964,-0.00586747,-0.00691627,-0.00813679,-0.00955199,-0.0111829,-0.0130517,-0.0151781,-0.017578,-0.0202616,-0.0232325,-0.0264874,-0.030025,-0.0338637,-0.0380003,-0.0422021,-0.046698,-0.0514361,-0.0563113,-0.0612735,-0.0663388,-0.0716491,-0.0773718,-0.0836825,-0.0909133,0,0,0,0,0,0,0,0,0,0,0,0,-8.78473,1,63.7057,-15,5.39869,20,-999,-999,60.7629,-15,6.19504,20,-999,-999,55.0026,-15,5.87548,20,-999,-999,1900.71,1695.34,2322.4,0.000263539,0,-77.3542,1247.57,1118.61,33.5671,0,0,0.00497692,0.00177181,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.41666666666667,"em",FALSE,653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.415731342632004,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.89612,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1647.89,855.277,208645000,208627000,0,4571.14,1470.43,11412.1,71.3523,2.64531e-31,7.9268,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,0.136441,-1.38518,-0.355568,-0.945265,0.781482,-1.64976,-1.64015,0.226288,-2.55255,-0.462445,0.305024,0.0135657,5,"0.05_10"
