"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","SD_young_Fem_GP_1","SD_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs_scalar_Fem_GP_1","Eggs_exp_len_Fem_GP_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_InitAge_18","Early_InitAge_17","Early_InitAge_16","Early_InitAge_15","Early_InitAge_14","Early_InitAge_13","Early_InitAge_12","Early_InitAge_11","Early_InitAge_10","Early_InitAge_9","Early_InitAge_8","Early_InitAge_7","Early_InitAge_6","Early_InitAge_5","Early_InitAge_4","Early_InitAge_3","Early_InitAge_2","Early_InitAge_1","Early_RecrDev_1923","Early_RecrDev_1924","Early_RecrDev_1925","Early_RecrDev_1926","Early_RecrDev_1927","Early_RecrDev_1928","Early_RecrDev_1929","ForeRecr_2023","ForeRecr_2024","ForeRecr_2025","ForeRecr_2026","ForeRecr_2027","ForeRecr_2028","ForeRecr_2029","ForeRecr_2030","ForeRecr_2031","ForeRecr_2032","ForeRecr_2033","ForeRecr_2034","LnQ_base_WCGBTS_4","Q_base_env_5","Size_DblN_peak_North_1","Size_DblN_top_logit_North_1","Size_DblN_ascend_se_North_1","Size_DblN_descend_se_North_1","Size_DblN_start_logit_North_1","Size_DblN_end_logit_North_1","Size_DblN_peak_South_2","Size_DblN_top_logit_South_2","Size_DblN_ascend_se_South_2","Size_DblN_descend_se_South_2","Size_DblN_start_logit_South_2","Size_DblN_end_logit_South_2","Size_DblN_peak_WCGBTS_4","Size_DblN_top_logit_WCGBTS_4","Size_DblN_ascend_se_WCGBTS_4","Size_DblN_descend_se_WCGBTS_4","Size_DblN_start_logit_WCGBTS_4","Size_DblN_end_logit_WCGBTS_4","Size_DblN_peak_North_1_BLK1repl_1973","Size_DblN_peak_North_1_BLK1repl_1983","Size_DblN_peak_North_1_BLK1repl_1993","Size_DblN_peak_North_1_BLK1repl_2003","Size_DblN_peak_North_1_BLK1repl_2011","Size_DblN_peak_North_1_BLK1repl_2018","Size_DblN_ascend_se_North_1_BLK1repl_1973","Size_DblN_ascend_se_North_1_BLK1repl_1983","Size_DblN_ascend_se_North_1_BLK1repl_1993","Size_DblN_ascend_se_North_1_BLK1repl_2003","Size_DblN_ascend_se_North_1_BLK1repl_2011","Size_DblN_ascend_se_North_1_BLK1repl_2018","Size_DblN_peak_South_2_BLK1repl_1973","Size_DblN_peak_South_2_BLK1repl_1983","Size_DblN_peak_South_2_BLK1repl_1993","Size_DblN_peak_South_2_BLK1repl_2003","Size_DblN_peak_South_2_BLK1repl_2011","Size_DblN_peak_South_2_BLK1repl_2018","Size_DblN_ascend_se_South_2_BLK1repl_1973","Size_DblN_ascend_se_South_2_BLK1repl_1983","Size_DblN_ascend_se_South_2_BLK1repl_1993","Size_DblN_ascend_se_South_2_BLK1repl_2003","Size_DblN_ascend_se_South_2_BLK1repl_2011","Size_DblN_ascend_se_South_2_BLK1repl_2018","dead.B.._1","dead.B.._2","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_North","Curr_Var_Adj_lcomp_flt_2_South","Curr_Var_Adj_lcomp_flt_4_WCGBTS","Curr_Var_Adj_agecomp_flt_1_North","Curr_Var_Adj_agecomp_flt_2_South","Curr_Var_Adj_agecomp_flt_4_WCGBTS","version","RunTime","model_run","hessian","Niterations","ForeRecr_2035","ForeRecr_2036","ForeRecr_2037","ForeRecr_2038","ForeRecr_2039","ForeRecr_2040","ForeRecr_2041","ForeRecr_2042","ForeRecr_2043","ForeRecr_2044","ForeRecr_2045","ForeRecr_2046","iteration","scenario"
39.7064,51390.1,50838.8,19290.2,9.92659,0.296875,0.173079,3174.44,10.0589,0.171386,3172.89,9.39099,0.284229,0.180143,3177.29,3177.29,0.00405312,0.319056877480708,"needs_Hessian",1945.69,1976.07,2022.06,2022.95,0.9558,NA,NA,NA,0.167329,8.94973,47.8966,0.190152,1.48791,4.96038,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.86735,0.8,0.5,0,0,-0.000506262,-0.000594142,-0.000696278,-0.000814502,-0.00095135,-0.00110826,-0.00128735,-0.00149024,-0.00171829,-0.00197234,-0.00225228,-0.00255752,-0.0028885,-0.00324792,-0.00364189,-0.00407768,-0.00455842,-0.00508468,-0.00565671,-0.00627036,-0.0069351,-0.00766668,-0.00849155,-0.00945636,-0.0106542,0,0,0,0,0,0,0,0,0,0,0,0,-8.80592,1,62.4751,-15,5.36649,20,-999,-999,48.4163,-15,5.6025,20,-999,-999,51.9134,-15,5.74816,20,-999,-999,65.4031,59.9681,55.4147,59.3125,66.72,56.23,5.72662,5.46702,5.48763,5.58682,5.79966,5.22837,48.1123,45.0238,41.7788,49.457,49.7611,52.9796,6.04879,4.9738,3.89459,4.84513,4.83258,5.1444,2230.94,1057.67,2154.4,0.000224554,0,-140.821,1176.6,1126.99,-8.37226,0,0,0.00037556,0.00369201,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",2.43333333333333,"em",FALSE,914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0.05"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.498554995307009,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.78056,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,61.5081,58.1804,57.0477,58.0381,58.267,58.4429,5.51139,5.3959,5.58417,5.48454,5.41558,5.28638,50.7367,48.9507,49.9245,50.8758,50.5432,51.3385,6.25412,5.26473,4.9369,4.98433,4.96723,4.91593,2108.47,1037.19,206151000,206136000,0,2363.74,1467.06,11373.7,55.8765,1.05813e-30,12.0345,0.157426,0.0028945,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-0.705298,1.07229,-0.661973,-0.348119,0.330826,-0.138678,0.753606,1.07242,-0.134693,0.269351,0.748186,-1.14605,1,"0.05"
40.6242,53341.2,52778.5,18467.7,10.1561,0.296875,0.171572,3267.75,10.2915,0.169878,3265.71,9.43263,0.28018,0.180989,3272.89,3272.89,0.00136916,0.23556574652547,"needs_Hessian",1941.8,1977.51,2022.9,2023,0.9607,NA,NA,NA,0.15723,9.37241,46.9189,0.195427,0.94519,5.06193,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.82378,0.8,0.5,0,0,-0.000796111,-0.000926127,-0.00107599,-0.00124819,-0.00144518,-0.00166991,-0.00192448,-0.00221113,-0.00253149,-0.00288647,-0.00327618,-0.00370094,-0.00416032,-0.00465871,-0.00520584,-0.00581111,-0.00647934,-0.00721196,-0.00800917,-0.00886394,-0.00978363,-0.0107765,-0.0118498,-0.0130125,-0.0142925,0,0,0,0,0,0,0,0,0,0,0,0,-8.5281,1,56.8588,-15,5.19329,20,-999,-999,50.1114,-15,5.66181,20,-999,-999,53.4197,-15,5.77734,20,-999,-999,66.1207,56.108,55.3882,61.492,66.4869,69.6594,5.78294,5.29097,5.5332,5.60896,5.75435,5.75128,50.5758,49.193,51.3522,52.288,55.9931,50.1949,6.2204,5.20872,4.93639,5.08474,5.31389,4.70797,1637.54,786.759,2231.38,0.00193171,0,-140.82,1245.24,1141.69,-14.7598,0,0,0.0260404,0.00483928,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",2.71666666666667,"em",FALSE,1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"0.05"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.393632811647349,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.63947,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,61.5081,58.1804,57.0477,58.0381,58.267,58.4429,5.51139,5.3959,5.58417,5.48454,5.41558,5.28638,50.7367,48.9507,49.9245,50.8758,50.5432,51.3385,6.25412,5.26473,4.9369,4.98433,4.96723,4.91593,1685.35,839.573,204845000,204830000,0,2311.67,1460.8,11243.8,58.8596,1.05813e-30,8.31392,0.157426,0.0028945,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-0.426226,1.32661,-0.409412,-0.170673,-0.356721,-0.120974,-0.520313,0.024166,-1.10666,0.532024,0.243838,-0.195579,2,"0.05"
38.6611,51385.3,50870.5,20134,9.66528,0.296875,0.183448,3390.13,9.79415,0.181701,3389.19,9.39759,0.290384,0.187143,3390.92,3390.92,0.00568997,0.313622737066457,"needs_Hessian",1929.53,1979.27,2022.25,2022.38,0.9637,NA,NA,"Size_DblN_peak_South(2)_BLK1repl_1993",0.167943,8.29552,47.0361,0.204036,1.09664,4.95894,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.91016,0.8,0.5,0,0,-0.000897262,-0.00105515,-0.00123917,-0.00145293,-0.00170016,-0.00198523,-0.00231153,-0.00268271,-0.00310159,-0.00356991,-0.00408827,-0.00465626,-0.00527417,-0.00594696,-0.00668787,-0.00751057,-0.0084229,-0.00942744,-0.0105237,-0.0116991,-0.0129618,-0.0143223,-0.0157834,-0.0173324,-0.0189621,0,0,0,0,0,0,0,0,0,0,0,0,-8.83415,1,60.1369,-15,5.34339,20,-999,-999,55.989,-15,6.13458,20,-999,-999,53.5023,-15,5.77223,20,-999,-999,56.4515,65.6725,56.7406,69.2651,62.7109,61.9783,5.26198,5.64747,5.49669,5.93099,5.58464,5.40457,46.6156,48.0397,74.83,48.9762,50.9738,60.8142,6.00804,5.23064,6.02211,4.84196,5.01121,5.54815,2236.14,1076.16,2210.05,0.00199294,0,-131.933,1200.73,1158.86,-17.6253,0,0,0.000121544,0.00937516,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",2.08333333333333,"em",FALSE,937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0.05"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.331392836094558,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.96763,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,61.5081,58.1804,57.0477,58.0381,58.267,58.4429,5.51139,5.3959,5.58417,5.48454,5.41558,5.28638,50.7367,48.9507,49.9245,50.8758,50.5432,51.3385,6.25412,5.26473,4.9369,4.98433,4.96723,4.91593,1347.22,694.331,206360000,206345000,0,2110.1,1468.02,11204.5,60.904,1.05813e-30,5.28509,0.157426,0.0028945,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-0.403043,-0.382827,-0.382906,0.337767,0.732843,-0.769062,-0.532717,-0.174773,-0.219949,-0.577375,-0.445867,-0.222383,3,"0.05"
48.9315,61048.9,60592.3,17301.2,12.2329,0.296875,0.167236,3518.21,12.396,0.165594,3517.63,12.0599,0.293561,0.168999,3518.43,3518.43,0.0148404,0.281325935235993,"needs_Hessian",1934.18,1984.36,2022.02,2022.92,0.9673,NA,NA,"Size_DblN_peak_North(1)_BLK1repl_2018",0.144202,8.11541,47.4082,0.202044,1.41808,4.88346,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.75853,0.8,0.5,0,0,-0.00118272,-0.0013593,-0.00156049,-0.00178904,-0.00204798,-0.00234009,-0.0026677,-0.00303303,-0.00343764,-0.00388216,-0.00436631,-0.00488906,-0.00545159,-0.0060564,-0.00671403,-0.00743431,-0.00822176,-0.00907589,-0.00999314,-0.0109608,-0.0119787,-0.0130452,-0.0141584,-0.0153223,-0.0165748,0,0,0,0,0,0,0,0,0,0,0,0,-8.79138,1,66.526,-15,5.55,20,-999,-999,51.5372,-15,5.94211,20,-999,-999,53.5299,-15,5.83821,20,-999,-999,70.2329,61.1389,63.8129,67.7974,64.824,74.9733,5.83171,5.59263,5.84868,5.92993,5.70377,5.97713,45.7584,48.34,62.3173,55.2204,49.6543,59.1154,6.01414,5.30301,5.5695,5.2971,4.77636,5.48547,2174.75,1072.79,2226.81,0.00484238,0,-142.125,1278.89,1105.28,-15.3801,0,0,0.128642,0.012704,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",2.81666666666667,"em",FALSE,1190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"0.05"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.391244843166787,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.89019,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,61.5081,58.1804,57.0477,58.0381,58.267,58.4429,5.51139,5.3959,5.58417,5.48454,5.41558,5.28638,50.7367,48.9507,49.9245,50.8758,50.5432,51.3385,6.25412,5.26473,4.9369,4.98433,4.96723,4.91593,1740.36,835.48,212297000,212282000,0,1887.68,1469.17,11314.7,54.2623,1.05813e-30,6.89458,0.157426,0.0028945,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0,"om",FALSE,2,-0.48014,-0.924086,-0.175126,-0.795941,-0.756427,-0.207348,-0.0632734,-0.82652,-0.166598,-0.298471,-0.417204,0.324681,4,"0.05"
39.1894,51837.7,51267.9,18181,9.79734,0.296875,0.179888,3335.21,9.92797,0.178185,3334.62,9.64402,0.293207,0.181912,3335.46,3335.46,0.0238771,0.312413560809811,"needs_Hessian",1943.59,1975.42,2022.05,2022.16,0.9534,NA,NA,"Size_DblN_peak_South(2)",0.158344,9.43481,46.8048,0.199648,0.986335,4.92222,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.80813,0.8,0.5,0,0,-0.000714879,-0.000832473,-0.000968138,-0.00112411,-0.0013026,-0.00150648,-0.0017375,-0.00199789,-0.00228924,-0.00261265,-0.00296858,-0.00335692,-0.00377807,-0.00423517,-0.00473561,-0.00528649,-0.00589069,-0.00654776,-0.00725484,-0.00799766,-0.00877404,-0.00958028,-0.0104101,-0.011255,-0.0121271,0,0,0,0,0,0,0,0,0,0,0,0,-8.40966,1,55.771,-15,4.92332,20,-999,-999,74.7904,-15,6.69087,20,-999,-999,56.4247,-15,5.92207,20,-999,-999,70.1241,64.6326,62.0955,68.4544,62.5675,65.9413,5.86286,5.58905,5.70249,5.88455,5.5849,5.57633,64.8916,48.5377,48.4292,56.621,55.2599,64.9824,6.80713,5.13158,4.7185,5.32077,5.24431,5.62062,2184.63,1058.46,2207.78,0.00541567,0,-140.793,1235.23,1119.82,-6.51568,0,0,0.0211042,0.011836,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",3.4,"em",FALSE,1546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"0.05"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.419503197782289,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.70487,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,61.5081,58.1804,57.0477,58.0381,58.267,58.4429,5.51139,5.3959,5.58417,5.48454,5.41558,5.28638,50.7367,48.9507,49.9245,50.8758,50.5432,51.3385,6.25412,5.26473,4.9369,4.98433,4.96723,4.91593,1701.42,870.447,206127000,206112000,0,2359.12,1471.81,11265.3,61.455,1.05813e-30,6.41976,0.157426,0.0028945,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,0.193221,-0.567591,-0.052784,-0.347633,0.515741,-0.699881,-0.695077,0.238144,-1.15127,-0.106223,0.277512,0.131783,5,"0.05"
