"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","SD_young_Fem_GP_1","SD_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs_scalar_Fem_GP_1","Eggs_exp_len_Fem_GP_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_InitAge_18","Early_InitAge_17","Early_InitAge_16","Early_InitAge_15","Early_InitAge_14","Early_InitAge_13","Early_InitAge_12","Early_InitAge_11","Early_InitAge_10","Early_InitAge_9","Early_InitAge_8","Early_InitAge_7","Early_InitAge_6","Early_InitAge_5","Early_InitAge_4","Early_InitAge_3","Early_InitAge_2","Early_InitAge_1","Early_RecrDev_1923","Early_RecrDev_1924","Early_RecrDev_1925","Early_RecrDev_1926","Early_RecrDev_1927","Early_RecrDev_1928","Early_RecrDev_1929","ForeRecr_2023","ForeRecr_2024","ForeRecr_2025","ForeRecr_2026","ForeRecr_2027","ForeRecr_2028","ForeRecr_2029","ForeRecr_2030","ForeRecr_2031","ForeRecr_2032","ForeRecr_2033","ForeRecr_2034","LnQ_base_WCGBTS_4","Q_base_env_5","Size_DblN_peak_North_1","Size_DblN_top_logit_North_1","Size_DblN_ascend_se_North_1","Size_DblN_descend_se_North_1","Size_DblN_start_logit_North_1","Size_DblN_end_logit_North_1","Size_DblN_peak_South_2","Size_DblN_top_logit_South_2","Size_DblN_ascend_se_South_2","Size_DblN_descend_se_South_2","Size_DblN_start_logit_South_2","Size_DblN_end_logit_South_2","Size_DblN_peak_WCGBTS_4","Size_DblN_top_logit_WCGBTS_4","Size_DblN_ascend_se_WCGBTS_4","Size_DblN_descend_se_WCGBTS_4","Size_DblN_start_logit_WCGBTS_4","Size_DblN_end_logit_WCGBTS_4","dead.B.._1","dead.B.._2","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_North","Curr_Var_Adj_lcomp_flt_2_South","Curr_Var_Adj_lcomp_flt_4_WCGBTS","Curr_Var_Adj_agecomp_flt_1_North","Curr_Var_Adj_agecomp_flt_2_South","Curr_Var_Adj_agecomp_flt_4_WCGBTS","version","RunTime","model_run","hessian","Niterations","ForeRecr_2035","ForeRecr_2036","ForeRecr_2037","ForeRecr_2038","ForeRecr_2039","ForeRecr_2040","ForeRecr_2041","ForeRecr_2042","ForeRecr_2043","ForeRecr_2044","ForeRecr_2045","ForeRecr_2046","iteration","scenario"
47.6071,58264.8,57772.7,15596.8,11.9018,0.296875,0.1439,2798.49,12.0605,0.142484,2798.99,12.2465,0.303663,0.140846,2799.19,2799.19,0.00174706,0.329253409680489,"needs_Hessian",1948.96,1973.25,2022.18,2022.98,0.9356,NA,NA,NA,0.142344,9.2948,47.9018,0.19189,1.07991,5.14392,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.65482,0.8,0.5,0,0,0.000726756,0.000833996,0.000956134,0.00109477,0.00124998,0.00142493,0.0016209,0.00183896,0.00208017,0.00234503,0.0026337,0.00294598,0.00328175,0.00364347,0.00403848,0.00447195,0.00494621,0.00546028,0.00601123,0.0065837,0.00716845,0.00774563,0.00828257,0.00873218,0.00903867,0,0,0,0,0,0,0,0,0,0,0,0,-9.18151,1,60.2878,-15,5.26545,20,-999,-999,53.0139,-15,5.9572,20,-999,-999,49.0041,-15,5.53189,20,-999,-999,2024.22,1662.48,2231.6,0.000109019,0,-86.8325,1226.89,1108.49,-17.0992,0,0,0.150737,0.000758968,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.61666666666667,"em",FALSE,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.510975050749787,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.14172,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,2178.09,1064.16,210342000,210327000,0,2254.2,1393.8,11070,55.8765,1.05813e-30,12.0345,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-0.705298,1.07229,-0.661973,-0.348119,0.330826,-0.138678,0.753606,1.07242,-0.134693,0.269351,0.748186,-1.14605,1,"0.05_10"
44.5127,55637.2,55079.2,16817.5,11.1282,0.296875,0.145946,2770.48,11.2765,0.144531,2770.78,11.3521,0.30159,0.143818,2770.81,2770.81,0.00178949,0.268718815079741,"needs_Hessian",1950.38,1972.13,2022.54,2022.76,0.9355,NA,NA,NA,0.150708,9.84949,48.0495,0.181165,1.20884,4.98919,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.73018,0.8,0.5,0,0,-0.000176927,-0.000204666,-0.000236499,-0.000273093,-0.000314012,-0.000359953,-0.00041196,-0.000470084,-0.000534945,-0.000606616,-0.000685331,-0.000773656,-0.000869679,-0.000975484,-0.00109453,-0.00122985,-0.00138418,-0.00155968,-0.0017569,-0.00197248,-0.00220199,-0.0024319,-0.00263482,-0.00275903,-0.00271891,0,0,0,0,0,0,0,0,0,0,0,0,-9.09164,1,61.6152,-15,5.34097,20,-999,-999,54.0062,-15,5.92065,20,-999,-999,49.5166,-15,5.61694,20,-999,-999,1463.51,1257.65,2329.66,0.00018518,0,-89.887,1263.09,1174.96,-18.5718,0,0,0.06657,0.00087891,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.55,"em",FALSE,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.406583284220636,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.0094,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1760.24,868.067,209224000,209209000,0,2241.55,1387.2,10950.1,58.8596,1.05813e-30,8.31392,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0333333333333333,"om",FALSE,2,-0.426226,1.32661,-0.409412,-0.170673,-0.356721,-0.120974,-0.520313,0.024166,-1.10666,0.532024,0.243838,-0.195579,2,"0.05_10"
36.6203,48681.2,48158.5,19089.6,9.15508,0.296875,0.157354,2671.73,9.27715,0.155858,2672.04,9.34999,0.301865,0.154974,2672.09,2672.09,0.00158077,0.395477371840209,"needs_Hessian",1937.77,1979.34,2022.01,2022.11,0.946,NA,NA,NA,0.167773,8.74438,47.2095,0.195492,1.405,4.8637,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.8569,0.8,0.5,0,0,-0.000976477,-0.00114693,-0.00134515,-0.00157504,-0.00184066,-0.00214532,-0.00249345,-0.00288811,-0.00333235,-0.00382802,-0.00437579,-0.00497584,-0.00562974,-0.00634445,-0.00713495,-0.00801681,-0.00900088,-0.0100942,-0.0113031,-0.0126207,-0.0140595,-0.0156289,-0.017338,-0.0192007,-0.0212618,0,0,0,0,0,0,0,0,0,0,0,0,-8.98383,1,67.4657,-15,5.4979,20,-999,-999,59.7354,-15,6.1992,20,-999,-999,58.8773,-15,6.09838,20,-999,-999,1932.83,1629.32,2319.42,0.00821081,0,-76.4992,1209.03,1200.9,-14.0246,0,0,0.000177737,0.00302114,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.5,"em",FALSE,703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.339259598803833,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.29134,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1391.53,711.491,209718000,209703000,0,2047.59,1392.64,10909.6,60.904,1.05813e-30,5.28509,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-0.403043,-0.382827,-0.382906,0.337767,0.732843,-0.769062,-0.532717,-0.174773,-0.219949,-0.577375,-0.445867,-0.222383,3,"0.05_10"
51.1975,63125.1,62669.1,15573,12.7994,0.296875,0.141199,2957.68,12.97,0.139809,2958.37,13.2592,0.305295,0.137492,2958.82,2958.82,0.00659499,0.305030519068314,"needs_Hessian",1949.9,1973.25,2022,2022.25,0.925,NA,NA,NA,0.133071,8.84734,47.0843,0.198771,0.838605,5.15834,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.65329,0.8,0.5,0,0,-0.000529146,-0.000602034,-0.000684389,-0.000777188,-0.000880843,-0.000996197,-0.00112474,-0.00126697,-0.0014235,-0.00159466,-0.00178061,-0.00198147,-0.00219975,-0.0024361,-0.00269632,-0.00298579,-0.00330854,-0.00366739,-0.00406499,-0.00449783,-0.0049644,-0.00545517,-0.00594659,-0.00639241,-0.00671488,0,0,0,0,0,0,0,0,0,0,0,0,-9.10666,1,61.2888,-15,5.27645,20,-999,-999,55.9323,-15,6.09924,20,-999,-999,53.7269,-15,5.89062,20,-999,-999,1833.44,1669.43,2412.46,8.40601e-05,0,-86.8705,1294.34,1216.8,-12.1011,1.21305e-30,0,0.293658,0.00127652,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.46666666666667,"em",FALSE,684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.400517320411237,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.23025,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1795.43,855.951,216069000,216055000,0,1800.66,1397.89,11018.4,54.2623,1.05813e-30,6.89458,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-0.48014,-0.924086,-0.175126,-0.795941,-0.756427,-0.207348,-0.0632734,-0.82652,-0.166598,-0.298471,-0.417204,0.324681,4,"0.05_10"
44.9562,55593.7,55122.5,16526.5,11.239,0.296875,0.148431,2793.22,11.3889,0.146987,2793.67,11.5412,0.303177,0.145536,2793.82,2793.82,0.000691228,0.35931417690997,"needs_Hessian",1955.65,1968.39,2022.72,2022.84,0.9275,NA,NA,NA,0.150036,8.83299,48.1165,0.188965,1.29431,5.02292,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.71272,0.8,0.5,0,0,-0.00472129,-0.00544787,-0.00627766,-0.00722208,-0.00829233,-0.00949959,-0.0108544,-0.012365,-0.0140377,-0.0158755,-0.0178786,-0.0200461,-0.0223824,-0.0249105,-0.0276784,-0.0307348,-0.0341118,-0.0378311,-0.0418953,-0.046317,-0.0511283,-0.0563622,-0.0620422,-0.0681796,-0.074831,0,0,0,0,0,0,0,0,0,0,0,0,-9.14812,1,59.8907,-15,5.25632,20,-999,-999,55.1402,-15,6.04074,20,-999,-999,50.2713,-15,5.69524,20,-999,-999,1873.4,1614.91,2434.66,0.000368263,0,-87.3849,1312.37,1222.19,-12.5762,0,0,0.0719337,0.000877265,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.56666666666667,"em",FALSE,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"0.05_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.430438958374261,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.07265,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1760.64,894.049,210573000,210559000,0,2250.38,1402.48,10955.4,61.455,1.05813e-30,6.41976,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0333333333333333,"om",FALSE,2,0.193221,-0.567591,-0.052784,-0.347633,0.515741,-0.699881,-0.695077,0.238144,-1.15127,-0.106223,0.277512,0.131783,5,"0.05_10"
