"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","SD_young_Fem_GP_1","SD_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs_scalar_Fem_GP_1","Eggs_exp_len_Fem_GP_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_InitAge_18","Early_InitAge_17","Early_InitAge_16","Early_InitAge_15","Early_InitAge_14","Early_InitAge_13","Early_InitAge_12","Early_InitAge_11","Early_InitAge_10","Early_InitAge_9","Early_InitAge_8","Early_InitAge_7","Early_InitAge_6","Early_InitAge_5","Early_InitAge_4","Early_InitAge_3","Early_InitAge_2","Early_InitAge_1","Early_RecrDev_1923","Early_RecrDev_1924","Early_RecrDev_1925","Early_RecrDev_1926","Early_RecrDev_1927","Early_RecrDev_1928","Early_RecrDev_1929","ForeRecr_2023","ForeRecr_2024","ForeRecr_2025","ForeRecr_2026","ForeRecr_2027","ForeRecr_2028","ForeRecr_2029","ForeRecr_2030","ForeRecr_2031","ForeRecr_2032","ForeRecr_2033","ForeRecr_2034","LnQ_base_WCGBTS_4","Q_base_env_5","Size_DblN_peak_North_1","Size_DblN_top_logit_North_1","Size_DblN_ascend_se_North_1","Size_DblN_descend_se_North_1","Size_DblN_start_logit_North_1","Size_DblN_end_logit_North_1","Size_DblN_peak_South_2","Size_DblN_top_logit_South_2","Size_DblN_ascend_se_South_2","Size_DblN_descend_se_South_2","Size_DblN_start_logit_South_2","Size_DblN_end_logit_South_2","Size_DblN_peak_WCGBTS_4","Size_DblN_top_logit_WCGBTS_4","Size_DblN_ascend_se_WCGBTS_4","Size_DblN_descend_se_WCGBTS_4","Size_DblN_start_logit_WCGBTS_4","Size_DblN_end_logit_WCGBTS_4","Size_DblN_peak_North_1_BLK1repl_1973","Size_DblN_peak_North_1_BLK1repl_1983","Size_DblN_peak_North_1_BLK1repl_1993","Size_DblN_peak_North_1_BLK1repl_2003","Size_DblN_peak_North_1_BLK1repl_2011","Size_DblN_peak_North_1_BLK1repl_2018","Size_DblN_ascend_se_North_1_BLK1repl_1973","Size_DblN_ascend_se_North_1_BLK1repl_1983","Size_DblN_ascend_se_North_1_BLK1repl_1993","Size_DblN_ascend_se_North_1_BLK1repl_2003","Size_DblN_ascend_se_North_1_BLK1repl_2011","Size_DblN_ascend_se_North_1_BLK1repl_2018","Size_DblN_peak_South_2_BLK1repl_1973","Size_DblN_peak_South_2_BLK1repl_1983","Size_DblN_peak_South_2_BLK1repl_1993","Size_DblN_peak_South_2_BLK1repl_2003","Size_DblN_peak_South_2_BLK1repl_2011","Size_DblN_peak_South_2_BLK1repl_2018","Size_DblN_ascend_se_South_2_BLK1repl_1973","Size_DblN_ascend_se_South_2_BLK1repl_1983","Size_DblN_ascend_se_South_2_BLK1repl_1993","Size_DblN_ascend_se_South_2_BLK1repl_2003","Size_DblN_ascend_se_South_2_BLK1repl_2011","Size_DblN_ascend_se_South_2_BLK1repl_2018","dead.B.._1","dead.B.._2","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_North","Curr_Var_Adj_lcomp_flt_2_South","Curr_Var_Adj_lcomp_flt_4_WCGBTS","Curr_Var_Adj_agecomp_flt_1_North","Curr_Var_Adj_agecomp_flt_2_South","Curr_Var_Adj_agecomp_flt_4_WCGBTS","version","RunTime","model_run","hessian","Niterations","ForeRecr_2035","ForeRecr_2036","ForeRecr_2037","ForeRecr_2038","ForeRecr_2039","ForeRecr_2040","ForeRecr_2041","ForeRecr_2042","ForeRecr_2043","ForeRecr_2044","ForeRecr_2045","ForeRecr_2046","iteration","scenario"
43.9593,55116.7,54679.1,15428,10.9898,0.296875,0.162645,3083.59,11.1363,0.161018,3082.46,10.5641,0.287796,0.167491,3085.01,3085.01,0.00325448,0.267108438942385,"needs_Hessian",1963,1964,2024,2033,0.9,NA,NA,NA,0.142441,8.54885,47.161,0.200743,1.393,5.00626,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.64394,0.8,0.5,0,0,-0.000369319,-0.000423762,-0.000485699,-0.000555963,-0.000635669,-0.000724875,-0.000824962,-0.000936417,-0.00105974,-0.00119518,-0.00134283,-0.00150246,-0.00167439,-0.00186041,-0.00206449,-0.00228995,-0.00253946,-0.00281457,-0.00311686,-0.00344397,-0.00379854,-0.00418107,-0.00459036,-0.0050222,-0.00547268,0,0,0,0,0,0,0,0,0,0,0,0,-8.72858,1,66.9389,-15,5.57161,20,-999,-999,55.7701,-15,6.06462,20,-999,-999,51.5137,-15,5.77166,20,-999,-999,67.6361,63.4099,59.3255,58.7438,60.2441,62.2083,5.75908,5.63498,5.71839,5.60027,5.53567,5.51977,60.3998,43.878,36.2221,48.5644,51.8024,52.298,6.61042,4.95153,1.92957,4.80735,5.01817,5.10852,2230.94,1057.67,2138.35,9.97894e-05,0,-89.6974,1191.78,1047.11,-11.0007,0,0,0.149527,0.00501322,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",3.85,"em",FALSE,1569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0.05"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.498554995307009,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.78056,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,61.5081,58.1804,57.0477,58.0381,58.267,58.4429,5.51139,5.3959,5.58417,5.48454,5.41558,5.28638,50.7367,48.9507,49.9245,50.8758,50.5432,51.3385,6.25412,5.26473,4.9369,4.98433,4.96723,4.91593,2108.47,1037.19,206150000,206136000,0,1023.29,1467.06,11373.7,55.8765,1.05813e-30,12.0345,0.157426,0.0028945,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,1,-0.705298,1.07229,-0.661973,-0.348119,0.330826,-0.138678,0.753606,1.07242,-0.134693,0.269351,0.748186,-1.14605,1,"0.05"
43.9951,54855.3,54370.6,15718.6,10.9988,0.296875,0.160018,3042.43,11.1454,0.158425,3041.22,10.5261,0.286802,0.16529,3044.16,3044.16,0.00382224,0.217324656609486,"needs_Hessian",1963,1964,2024,2033,0.9,NA,NA,NA,0.145773,9.26103,47.6822,0.190348,1.19146,4.98356,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.6626,0.8,0.5,0,0,-0.00142673,-0.00164074,-0.00188454,-0.00216138,-0.00247427,-0.0028264,-0.00322098,-0.00366037,-0.00414644,-0.00468022,-0.00526195,-0.0058914,-0.00656979,-0.0073039,-0.00810627,-0.00898975,-0.00996109,-0.0110218,-0.0121698,-0.0133884,-0.0146728,-0.0160064,-0.0173589,-0.0186834,-0.0199322,0,0,0,0,0,0,0,0,0,0,0,0,-8.68728,1,69.282,-15,5.68726,20,-999,-999,56.5878,-15,6.07904,20,-999,-999,50.999,-15,5.73045,20,-999,-999,61.0896,60.1123,52.153,58.8742,59.2239,59.8459,5.59081,5.53168,5.33368,5.56223,5.49673,5.45681,49.809,45.2355,35.6258,50.7989,51.3237,51.2678,6.24906,4.99366,-0.347309,5.0314,5.05653,4.98496,1637.54,786.759,2293.21,0.000781264,0,-91.4486,1245.38,1152.28,-13.1212,0,0,0.111519,0.00420897,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",2.6,"em",FALSE,1287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"0.05"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.393632811647349,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.63947,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,61.5081,58.1804,57.0477,58.0381,58.267,58.4429,5.51139,5.3959,5.58417,5.48454,5.41558,5.28638,50.7367,48.9507,49.9245,50.8758,50.5432,51.3385,6.25412,5.26473,4.9369,4.98433,4.96723,4.91593,1685.35,839.573,204843000,204830000,0,855.095,1460.8,11243.8,58.8596,1.05813e-30,8.31392,0.157426,0.0028945,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,1,-0.426226,1.32661,-0.409412,-0.170673,-0.356721,-0.120974,-0.520313,0.024166,-1.10666,0.532024,0.243838,-0.195579,2,"0.05"
39.9078,50526.5,50108.1,15991.8,9.97695,0.296875,0.170201,3004.21,10.11,0.168525,3003.17,9.61632,0.288403,0.174848,3005.42,3005.42,0.00046846,0.309636211467432,"needs_Hessian",1963,1964,2024,2033,0.9,NA,NA,"Size_DblN_peak_South(2)_BLK1repl_1993",0.152863,8.27991,47.4777,0.200646,1.09407,5.0183,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.67983,0.8,0.5,0,0,-0.00181781,-0.00210548,-0.00243552,-0.0028129,-0.00324236,-0.00372996,-0.00427966,-0.00489586,-0.00558183,-0.00633969,-0.00717038,-0.00807412,-0.00905317,-0.0101179,-0.0112888,-0.0125877,-0.0140294,-0.015624,-0.0173788,-0.0192863,-0.0213609,-0.02361,-0.0260299,-0.0285997,-0.0313014,0,0,0,0,0,0,0,0,0,0,0,0,-9.00922,1,73.8796,-15,5.80368,20,-999,-999,67.0279,-15,6.44222,20,-999,-999,50.3922,-15,5.65245,20,-999,-999,62.9691,66.529,53.3006,63.7686,59.1231,56.5845,5.58118,5.70673,5.35097,5.77611,5.5033,5.17948,47.0271,47.295,74.7899,47.5345,48.4503,55.473,6.04694,5.20127,6.10896,4.73998,4.87751,5.32727,2236.14,1076.16,2261.96,0.00245606,0,-79.522,1208.22,1143.7,-10.5019,0,0,0.0509063,0.010947,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",2.53333333333333,"em",FALSE,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0.05"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.331392836094558,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.96763,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,61.5081,58.1804,57.0477,58.0381,58.267,58.4429,5.51139,5.3959,5.58417,5.48454,5.41558,5.28638,50.7367,48.9507,49.9245,50.8758,50.5432,51.3385,6.25412,5.26473,4.9369,4.98433,4.96723,4.91593,1347.22,694.331,206359000,206345000,0,1069.93,1468.02,11204.5,60.904,1.05813e-30,5.28509,0.157426,0.0028945,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,1,-0.403043,-0.382827,-0.382906,0.337767,0.732843,-0.769062,-0.532717,-0.174773,-0.219949,-0.577375,-0.445867,-0.222383,3,"0.05"
49.8463,61714.9,61190.7,15847.1,12.4616,0.296875,0.155913,3295.64,12.6277,0.154341,3294.24,11.8862,0.286053,0.16151,3297.8,3297.8,0.000725479,0.301448653159813,"needs_Hessian",1963,1964,2024,2033,0.9,NA,NA,"Size_DblN_peak_South(2)",0.136987,9.5963,47.308,0.194174,0.831213,5.10644,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.67074,0.8,0.5,0,0,0.00167443,0.00191058,0.00217766,0.00247879,0.00281717,0.00319613,0.0036184,0.00408654,0.0046026,0.00516796,0.00578341,0.0064498,0.00716939,0.00794868,0.00880347,0.00974927,0.0107996,0.0119669,0.01327,0.0147062,0.0163034,0.0180875,0.0200873,0.0223318,0.0248669,0,0,0,0,0,0,0,0,0,0,0,0,-8.96826,1,67.3581,-15,5.51249,20,-999,-999,74.8134,-15,6.78401,20,-999,-999,50.5778,-15,5.71628,20,-999,-999,66.2065,63.7673,51.3874,57.8672,59.0775,59.0669,5.67246,5.61834,5.34559,5.48531,5.45772,5.34322,53.768,47.2847,55.4459,51.4434,52.465,49.6713,6.41981,5.22354,5.47602,5.08373,5.05843,4.83293,2174.75,1072.79,2274.54,8.55334e-05,0,-90.8656,1242.32,1134.86,-12.0022,0,0,0.226336,0.0084769,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",12.2166666666667,"em",FALSE,4886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"0.05"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.391244843166787,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.89019,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,61.5081,58.1804,57.0477,58.0381,58.267,58.4429,5.51139,5.3959,5.58417,5.48454,5.41558,5.28638,50.7367,48.9507,49.9245,50.8758,50.5432,51.3385,6.25412,5.26473,4.9369,4.98433,4.96723,4.91593,1740.36,835.48,212296000,212282000,0,709.002,1469.17,11314.7,54.2623,1.05813e-30,6.89458,0.157426,0.0028945,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,1,-0.48014,-0.924086,-0.175126,-0.795941,-0.756427,-0.207348,-0.0632734,-0.82652,-0.166598,-0.298471,-0.417204,0.324681,4,"0.05"
53.0498,63973.3,63526.6,14963.9,13.2625,0.296875,0.154925,3350.41,13.4393,0.153339,3348.9,12.6091,0.285329,0.160964,3352.93,3352.93,0.003486,0.261329920188201,"needs_Hessian",1963,1964,2024,2033,0.9,NA,NA,NA,0.131898,8.78444,47.7182,0.196696,1.21012,4.95027,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.6134,0.8,0.5,0,0,0.00129308,0.00146916,0.00166769,0.00189095,0.00214173,0.0024195,0.00272887,0.00307073,0.0034462,0.0038558,0.00429942,0.00477699,0.00528805,0.0058395,0.00644172,0.00710698,0.00784542,0.00866446,0.00957338,0.0105683,0.0116645,0.0128705,0.0141894,0.0156101,0.0171108,0,0,0,0,0,0,0,0,0,0,0,0,-8.79568,1,56.3331,-15,5.36035,20,-999,-999,49.6399,-15,5.93005,20,-999,-999,49.9977,-15,5.69279,20,-999,-999,54.3595,67.6918,58.0821,55.9798,59.2188,55.0131,5.05598,5.81069,5.68331,5.44934,5.5521,5.17802,53.55,52.4411,40.7547,52.9962,49.0698,50.7627,6.45126,5.4897,4.76925,5.19928,4.96881,4.80213,2184.63,1058.46,2161.16,0.00290117,0,-88.8623,1202.49,1059.74,-12.5229,0,0,0.315961,0.00300719,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.46666666666667,"em",FALSE,1344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"0.05"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.419503197782289,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.70487,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,61.5081,58.1804,57.0477,58.0381,58.267,58.4429,5.51139,5.3959,5.58417,5.48454,5.41558,5.28638,50.7367,48.9507,49.9245,50.8758,50.5432,51.3385,6.25412,5.26473,4.9369,4.98433,4.96723,4.91593,1701.42,870.447,206125000,206112000,0,1124.13,1471.81,11265.3,61.455,1.05813e-30,6.41976,0.157426,0.0028945,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,1,0.193221,-0.567591,-0.052784,-0.347633,0.515741,-0.699881,-0.695077,0.238144,-1.15127,-0.106223,0.277512,0.131783,5,"0.05"
