"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","SD_young_Fem_GP_1","SD_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs_scalar_Fem_GP_1","Eggs_exp_len_Fem_GP_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_InitAge_18","Early_InitAge_17","Early_InitAge_16","Early_InitAge_15","Early_InitAge_14","Early_InitAge_13","Early_InitAge_12","Early_InitAge_11","Early_InitAge_10","Early_InitAge_9","Early_InitAge_8","Early_InitAge_7","Early_InitAge_6","Early_InitAge_5","Early_InitAge_4","Early_InitAge_3","Early_InitAge_2","Early_InitAge_1","Early_RecrDev_1923","Early_RecrDev_1924","Early_RecrDev_1925","Early_RecrDev_1926","Early_RecrDev_1927","Early_RecrDev_1928","Early_RecrDev_1929","ForeRecr_2023","ForeRecr_2024","ForeRecr_2025","ForeRecr_2026","ForeRecr_2027","ForeRecr_2028","ForeRecr_2029","ForeRecr_2030","ForeRecr_2031","ForeRecr_2032","ForeRecr_2033","ForeRecr_2034","LnQ_base_WCGBTS_4","Q_base_env_5","Size_DblN_peak_North_1","Size_DblN_top_logit_North_1","Size_DblN_ascend_se_North_1","Size_DblN_descend_se_North_1","Size_DblN_start_logit_North_1","Size_DblN_end_logit_North_1","Size_DblN_peak_South_2","Size_DblN_top_logit_South_2","Size_DblN_ascend_se_South_2","Size_DblN_descend_se_South_2","Size_DblN_start_logit_South_2","Size_DblN_end_logit_South_2","Size_DblN_peak_WCGBTS_4","Size_DblN_top_logit_WCGBTS_4","Size_DblN_ascend_se_WCGBTS_4","Size_DblN_descend_se_WCGBTS_4","Size_DblN_start_logit_WCGBTS_4","Size_DblN_end_logit_WCGBTS_4","dead.B.._1","dead.B.._2","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_North","Curr_Var_Adj_lcomp_flt_2_South","Curr_Var_Adj_lcomp_flt_4_WCGBTS","Curr_Var_Adj_agecomp_flt_1_North","Curr_Var_Adj_agecomp_flt_2_South","Curr_Var_Adj_agecomp_flt_4_WCGBTS","version","RunTime","model_run","hessian","Niterations","ForeRecr_2035","ForeRecr_2036","ForeRecr_2037","ForeRecr_2038","ForeRecr_2039","ForeRecr_2040","ForeRecr_2041","ForeRecr_2042","ForeRecr_2043","ForeRecr_2044","ForeRecr_2045","ForeRecr_2046","iteration","scenario"
37.046,49001.7,48497.6,18079.5,9.26151,0.296875,0.156536,2653.74,9.385,0.155038,2654.07,9.46734,0.302084,0.15405,2654.13,2654.13,9.26735e-05,0.3434891756195,"needs_Hessian",1963,1964,2024,2033,0.9,NA,NA,NA,0.162502,8.75823,46.9351,0.200591,1.21365,4.96732,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.80253,0.8,1,0,0,-0.00682714,-0.00797585,-0.00930406,-0.0108342,-0.0125889,-0.0145905,-0.0168609,-0.0194174,-0.022273,-0.0254328,-0.0288945,-0.03265,-0.0366971,-0.0410618,-0.0458086,-0.051002,-0.0566644,-0.0627846,-0.0692858,-0.0761672,-0.0834596,-0.0912832,-0.0997298,-0.108819,-0.118623,0,0,0,0,0,0,0,0,0,0,0,0,-8.8894,1,66.8556,-15,5.49119,20,-999,-999,58.7297,-15,6.16234,20,-999,-999,56.0161,-15,5.90036,20,-999,-999,2281.65,1734.87,2208.04,1.57283e-05,0,-73.8666,1210.59,1044.74,26.5692,0,0,0.00742121,0.00211162,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.866666666666667,"em",FALSE,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0.1_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.556728439525899,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.13754,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,2350.05,1149.96,206448000,206430000,0,4968.44,1451.23,11891.1,66.0963,2.64531e-31,11.8535,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0,"om",FALSE,2,-1.6606,1.89457,-1.57395,-0.946238,0.411652,-0.527357,1.25721,1.89484,-0.519387,0.288703,1.24637,-2.5421,1,"0.1_10"
37.5684,49329.2,48831.8,17896.6,9.39211,0.296875,0.155247,2640.18,9.51734,0.153757,2640.49,9.59357,0.301902,0.152858,2640.54,2640.54,0.000772714,0.182498323058741,"needs_Hessian",1963,1964,2024,2033,0.9,NA,NA,NA,0.16186,8.72202,47.0873,0.200225,1.20272,4.96198,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.79237,0.8,1,0,0,-0.00583662,-0.00681508,-0.00794596,-0.00924822,-0.0107416,-0.0124463,-0.0143791,-0.0165555,-0.0189863,-0.0216757,-0.024621,-0.0278137,-0.0312484,-0.0349454,-0.0389552,-0.0433258,-0.0480664,-0.0531537,-0.0585129,-0.0641132,-0.0699801,-0.0762266,-0.0829728,-0.0903236,-0.0985084,0,0,0,0,0,0,0,0,0,0,0,0,-8.76903,1,66.4499,-15,5.53439,20,-999,-999,57.207,-15,6.12022,20,-999,-999,53.3459,-15,5.86643,20,-999,-999,991.668,847.757,2316.79,2.9639e-05,0,-71.8614,1257.77,1106.77,24.1038,1.98706e-31,0,0.00905872,0.0016521,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.68333333333333,"em",FALSE,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"0.1_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.390186191692314,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.7779,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1641.82,846.454,203531000,203514000,0,4656.61,1426.8,11449.5,68.9697,2.64531e-31,9.27885,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.10245,2.40321,-1.06882,-0.591347,-0.963442,-0.491947,-1.29063,-0.201668,-2.46332,0.814049,0.237675,-0.641157,2,"0.1_10"
35.9746,47968.8,47420.9,19316.3,8.99365,0.296875,0.158682,2658.17,9.11357,0.157178,2658.54,9.20893,0.302485,0.155995,2658.62,2658.62,0.000934487,0.327964730671085,"needs_Hessian",1963,1964,2024,2033,0.9,NA,NA,NA,0.1707,8.9567,47.2977,0.195182,1.36681,4.89132,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.8687,0.8,1,0,0,-0.00443396,-0.00521966,-0.00613486,-0.0071968,-0.00842357,-0.00983317,-0.0114428,-0.0132676,-0.0153189,-0.0176029,-0.0201198,-0.0228647,-0.0258359,-0.0290491,-0.0325509,-0.0363802,-0.0405399,-0.0450006,-0.0496866,-0.0545267,-0.0595066,-0.0646716,-0.0700486,-0.0756268,-0.0815055,0,0,0,0,0,0,0,0,0,0,0,0,-9.17076,1,68.7424,-15,5.57446,20,-999,-999,61.2594,-15,6.27321,20,-999,-999,55.6747,-15,5.91818,20,-999,-999,1826.99,1488.16,2314.79,0.000971998,0,-58.1099,1181.32,1160.35,31.2251,0,0,0.000682377,0.00240786,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.53333333333333,"em",FALSE,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"0.1_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.252871455700347,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.32069,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,976.46,525.821,204511000,204494000,0,4245.47,1436.07,11391,72.8695,2.64531e-31,7.18022,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0,"om",FALSE,2,-1.05609,-1.01565,-1.01581,0.425535,1.21569,-1.78812,-1.31543,-0.599547,-0.689897,-1.40475,-1.14173,-0.694766,3,"0.1_10"
51.8156,64329.4,63809.5,18447.6,12.9539,0.296875,0.144026,3115.35,13.1266,0.142622,3116.01,13.3832,0.304642,0.140568,3116.37,3116.37,0.000144297,0.265929565613445,"needs_Hessian",1963,1964,2024,2033,0.9,NA,NA,NA,0.146236,8.75084,47.8073,0.193247,1.06641,4.90381,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.82269,0.8,1,0,0,-0.0185855,-0.0213368,-0.0244583,-0.0279864,-0.0319553,-0.0363986,-0.0413441,-0.0468113,-0.0528095,-0.059334,-0.0663676,-0.073885,-0.0818767,-0.0903763,-0.0994912,-0.109305,-0.119834,-0.131033,-0.142595,-0.154782,-0.167473,-0.18078,-0.19475,-0.209318,-0.224503,0,0,0,0,0,0,0,0,0,0,0,0,-9.32419,1,62.1292,-15,5.34585,20,-999,-999,54.3426,-15,6.05327,20,-999,-999,52.516,-15,5.8509,20,-999,-999,1698.83,1579.86,2311.79,0.000106984,0,-69.6525,1276.39,1078.85,26.0916,2.4759e-31,0,0.106746,0.00115635,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.816666666666667,"em",FALSE,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"0.1_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.328286730840591,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.32693,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1491.25,706.124,219381000,219364000,0,3431.54,1454.95,11660.7,60.2822,2.64531e-31,9.6628,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,-1.21028,-2.09817,-0.600253,-1.84188,-1.76285,-0.664697,-0.376547,-1.90304,-0.583195,-0.846942,-1.08441,0.399362,4,"0.1_10"
38.4812,51100.5,50481.5,20792.1,9.62031,0.296875,0.161421,2905.4,9.74858,0.159901,2905.71,9.81329,0.301576,0.159141,2905.75,2905.75,0.00206984,0.406024240408303,"needs_Hessian",1963,1964,2024,2033,0.9,NA,NA,NA,0.172721,9.32636,47.6241,0.189815,1.30782,4.8948,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.94233,0.8,1,0,0,-0.0037947,-0.00447389,-0.00526591,-0.006186,-0.00725087,-0.00847564,-0.0098758,-0.0114651,-0.013254,-0.0152486,-0.0174496,-0.0198532,-0.0224568,-0.0252744,-0.0283426,-0.0316901,-0.0353121,-0.0391775,-0.0432199,-0.0473794,-0.0516664,-0.0561672,-0.0609937,-0.0662833,-0.0723378,0,0,0,0,0,0,0,0,0,0,0,0,-8.79492,1,63.7497,-15,5.39991,20,-999,-999,61.1639,-15,6.20893,20,-999,-999,54.8527,-15,5.87002,20,-999,-999,1900.71,1695.34,2330.26,0.000264354,0,-69.733,1246.71,1120.02,33.2591,0,0,0.00280646,0.00177449,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.7,"em",FALSE,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"0.1_10"
45.813,56586.9,56136.8,15357.1,11.4532,0.296875,0.144226,2738.22,11.6059,0.142811,2738.66,11.7602,0.303157,0.1414,2738.81,2738.81,NA,0.415731342632004,NA,1935.3,2002,2015.7,2021.8,0,NA,NA,NA,0.141813,8.84618,47.6931,0.193447,1.31684,4.87428,2.035e-06,3.478,35.45,-0.48921,3.2e-11,4.55,1,0.5,9.63933,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.89612,1,61.2108,-15,5.261,20,-999,-999,54.2777,-15,5.96648,20,-999,-999,50.4841,-15,5.65368,20,-999,-999,1647.89,855.277,208645000,208627000,0,4571.14,1470.43,11412.1,71.3523,2.64531e-31,7.9268,0.157426,0.000925884,0,0,1,1,1,1,1,1,"3.30.22.1;_safe;_compile_date:_Jan 30 2024;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.0166666666666667,"om",FALSE,2,0.136441,-1.38518,-0.355568,-0.945265,0.781482,-1.64976,-1.64015,0.226288,-2.55255,-0.462445,0.305024,0.0135657,5,"0.1_10"
